Id,Cement,Fly Ash,Slag,Water,HRWR,Coarse Aggregate,Fine Aggregate
0,501.71033,146.30412,246.83229,267.97885,67.012726,1525.2347,1147.2334
1,593.5597,135.21703,263.0925,278.8651,81.12456,1109.6459,1488.9912
2,316.05475,254.49362,350.07382,319.66235,91.68253,1435.6023,883.35266
3,331.8604,230.62476,157.50224,351.349,55.838585,1050.0999,1457.695
4,457.2594,184.1762,314.369,287.6416,21.50765,1592.7412,1355.0448
5,417.26617,205.24146,253.89397,288.67554,66.06502,1156.3981,1348.3339
6,441.708,40.231667,287.83292,309.3556,1.6341136,1484.3292,1401.2952
7,389.76202,222.62537,19.527716,128.97336,2.780941,1643.6045,1293.0549
8,329.96405,237.26161,120.090935,146.01141,13.705203,1447.2386,1543.0087
